grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
TNC-SHARED,SHARED3,0.0,School
SCHOOLBUS,SHARED3,0.0,School
All,SHARED3,979783.0,School
DRIVEALONE,WALK,0.0,School
SHARED2,WALK,0.0,School
SHARED3,WALK,0.0,School
WALK,WALK,306821.0,School
BIKE,WALK,0.0,School
WALK-TRANSIT,WALK,0.0,School
PNR-TRANSIT,WALK,0.0,School
KNR-TRANSIT,WALK,0.0,School
TNC-TRANSIT,WALK,0.0,School
TAXI,WALK,0.0,School
TNC-REG,WALK,0.0,School
TNC-SHARED,WALK,0.0,School
SCHOOLBUS,WALK,0.0,School
All,WALK,306821.0,School
DRIVEALONE,BIKE,0.0,School
SHARED2,BIKE,0.0,School
SHARED3,BIKE,0.0,School
WALK,BIKE,0.0,School
BIKE,BIKE,30132.0,School
WALK-TRANSIT,BIKE,0.0,School
PNR-TRANSIT,BIKE,0.0,School
KNR-TRANSIT,BIKE,0.0,School
TNC-TRANSIT,BIKE,0.0,School
TAXI,BIKE,0.0,School
TNC-REG,BIKE,0.0,School
TNC-SHARED,BIKE,0.0,School
SCHOOLBUS,BIKE,0.0,School
All,BIKE,30132.0,School
DRIVEALONE,WALK-TRANSIT,0.0,School
SHARED2,WALK-TRANSIT,0.0,School
SHARED3,WALK-TRANSIT,0.0,School
WALK,WALK-TRANSIT,6731.0,School
BIKE,WALK-TRANSIT,0.0,School
WALK-TRANSIT,WALK-TRANSIT,45457.0,School
PNR-TRANSIT,WALK-TRANSIT,0.0,School
KNR-TRANSIT,WALK-TRANSIT,0.0,School
TNC-TRANSIT,WALK-TRANSIT,0.0,School
TAXI,WALK-TRANSIT,0.0,School
TNC-REG,WALK-TRANSIT,57.0,School
TNC-SHARED,WALK-TRANSIT,347.0,School
SCHOOLBUS,WALK-TRANSIT,0.0,School
All,WALK-TRANSIT,52592.0,School
DRIVEALONE,PNR-TRANSIT,0.0,School
SHARED2,PNR-TRANSIT,0.0,School
SHARED3,PNR-TRANSIT,0.0,School
WALK,PNR-TRANSIT,0.0,School
BIKE,PNR-TRANSIT,0.0,School
WALK-TRANSIT,PNR-TRANSIT,0.0,School
PNR-TRANSIT,PNR-TRANSIT,1015.0,School
KNR-TRANSIT,PNR-TRANSIT,0.0,School
TNC-TRANSIT,PNR-TRANSIT,0.0,School
TAXI,PNR-TRANSIT,0.0,School
TNC-REG,PNR-TRANSIT,0.0,School
TNC-SHARED,PNR-TRANSIT,0.0,School
SCHOOLBUS,PNR-TRANSIT,0.0,School
All,PNR-TRANSIT,1015.0,School
DRIVEALONE,KNR-TRANSIT,0.0,School
SHARED2,KNR-TRANSIT,0.0,School
SHARED3,KNR-TRANSIT,0.0,School
WALK,KNR-TRANSIT,0.0,School
BIKE,KNR-TRANSIT,0.0,School
WALK-TRANSIT,KNR-TRANSIT,0.0,School
PNR-TRANSIT,KNR-TRANSIT,0.0,School
KNR-TRANSIT,KNR-TRANSIT,5888.0,School
TNC-TRANSIT,KNR-TRANSIT,0.0,School
TAXI,KNR-TRANSIT,0.0,School
TNC-REG,KNR-TRANSIT,362.0,School
TNC-SHARED,KNR-TRANSIT,0.0,School
SCHOOLBUS,KNR-TRANSIT,0.0,School
All,KNR-TRANSIT,6250.0,School
DRIVEALONE,TNC-TRANSIT,0.0,School
SHARED2,TNC-TRANSIT,0.0,School
SHARED3,TNC-TRANSIT,0.0,School
WALK,TNC-TRANSIT,0.0,School
BIKE,TNC-TRANSIT,0.0,School
WALK-TRANSIT,TNC-TRANSIT,0.0,School
PNR-TRANSIT,TNC-TRANSIT,0.0,School
KNR-TRANSIT,TNC-TRANSIT,0.0,School
TNC-TRANSIT,TNC-TRANSIT,343.0,School
TAXI,TNC-TRANSIT,0.0,School
TNC-REG,TNC-TRANSIT,0.0,School
TNC-SHARED,TNC-TRANSIT,0.0,School
SCHOOLBUS,TNC-TRANSIT,0.0,School
All,TNC-TRANSIT,343.0,School
DRIVEALONE,TAXI,0.0,School
SHARED2,TAXI,4420.0,School
SHARED3,TAXI,1528.0,School
WALK,TAXI,1105.0,School
BIKE,TAXI,0.0,School
WALK-TRANSIT,TAXI,0.0,School
PNR-TRANSIT,TAXI,0.0,School
KNR-TRANSIT,TAXI,0.0,School
TNC-TRANSIT,TAXI,0.0,School
TAXI,TAXI,4924.0,School
TNC-REG,TAXI,0.0,School
TNC-SHARED,TAXI,0.0,School
SCHOOLBUS,TAXI,0.0,School
All,TAXI,11977.0,School
DRIVEALONE,TNC-REG,0.0,School
SHARED2,TNC-REG,74.0,School
SHARED3,TNC-REG,1521.0,School
WALK,TNC-REG,433.0,School
BIKE,TNC-REG,0.0,School
WALK-TRANSIT,TNC-REG,0.0,School
PNR-TRANSIT,TNC-REG,0.0,School
KNR-TRANSIT,TNC-REG,0.0,School
TNC-TRANSIT,TNC-REG,0.0,School
TAXI,TNC-REG,0.0,School
TNC-REG,TNC-REG,3945.0,School
TNC-SHARED,TNC-REG,0.0,School
SCHOOLBUS,TNC-REG,0.0,School
All,TNC-REG,5973.0,School
DRIVEALONE,TNC-SHARED,0.0,School
SHARED2,TNC-SHARED,0.0,School
SHARED3,TNC-SHARED,0.0,School
WALK,TNC-SHARED,0.0,School
BIKE,TNC-SHARED,0.0,School
WALK-TRANSIT,TNC-SHARED,0.0,School
PNR-TRANSIT,TNC-SHARED,0.0,School
KNR-TRANSIT,TNC-SHARED,0.0,School
TNC-TRANSIT,TNC-SHARED,0.0,School
TAXI,TNC-SHARED,0.0,School
TNC-REG,TNC-SHARED,0.0,School
TNC-SHARED,TNC-SHARED,0.0,School
SCHOOLBUS,TNC-SHARED,0.0,School
All,TNC-SHARED,0.0,School
DRIVEALONE,SCHOOLBUS,0.0,School
SHARED2,SCHOOLBUS,105825.0,School
SHARED3,SCHOOLBUS,101340.0,School
WALK,SCHOOLBUS,32468.0,School
BIKE,SCHOOLBUS,0.0,School
WALK-TRANSIT,SCHOOLBUS,0.0,School
PNR-TRANSIT,SCHOOLBUS,0.0,School
KNR-TRANSIT,SCHOOLBUS,0.0,School
TNC-TRANSIT,SCHOOLBUS,0.0,School
TAXI,SCHOOLBUS,2784.0,School
TNC-REG,SCHOOLBUS,0.0,School
TNC-SHARED,SCHOOLBUS,0.0,School
SCHOOLBUS,SCHOOLBUS,743451.0,School
All,SCHOOLBUS,985868.0,School
DRIVEALONE,All,153878.0,School
SHARED2,All,642275.0,School
SHARED3,All,865876.0,School
WALK,All,438663.0,School
BIKE,All,30132.0,School
WALK-TRANSIT,All,45457.0,School
PNR-TRANSIT,All,1015.0,School
KNR-TRANSIT,All,5888.0,School
TNC-TRANSIT,All,343.0,School
TAXI,All,7708.0,School
TNC-REG,All,4364.0,School
TNC-SHARED,All,347.0,School
SCHOOLBUS,All,743451.0,School
All,All,2939397.0,School
DRIVEALONE,DRIVEALONE,696602.0,Work sub-tour
SHARED2,DRIVEALONE,0.0,Work sub-tour
SHARED3,DRIVEALONE,0.0,Work sub-tour
WALK,DRIVEALONE,3358.0,Work sub-tour
BIKE,DRIVEALONE,0.0,Work sub-tour
WALK-TRANSIT,DRIVEALONE,0.0,Work sub-tour
PNR-TRANSIT,DRIVEALONE,0.0,Work sub-tour
KNR-TRANSIT,DRIVEALONE,0.0,Work sub-tour
TNC-TRANSIT,DRIVEALONE,0.0,Work sub-tour
TAXI,DRIVEALONE,0.0,Work sub-tour
TNC-REG,DRIVEALONE,0.0,Work sub-tour
TNC-SHARED,DRIVEALONE,0.0,Work sub-tour
SCHOOLBUS,DRIVEALONE,0.0,Work sub-tour
All,DRIVEALONE,699960.0,Work sub-tour
DRIVEALONE,SHARED2,14208.0,Work sub-tour
SHARED2,SHARED2,95809.0,Work sub-tour
SHARED3,SHARED2,0.0,Work sub-tour
WALK,SHARED2,369.0,Work sub-tour
BIKE,SHARED2,0.0,Work sub-tour
WALK-TRANSIT,SHARED2,0.0,Work sub-tour
PNR-TRANSIT,SHARED2,0.0,Work sub-tour
KNR-TRANSIT,SHARED2,0.0,Work sub-tour
TNC-TRANSIT,SHARED2,0.0,Work sub-tour
TAXI,SHARED2,0.0,Work sub-tour
TNC-REG,SHARED2,0.0,Work sub-tour
TNC-SHARED,SHARED2,0.0,Work sub-tour
SCHOOLBUS,SHARED2,0.0,Work sub-tour
All,SHARED2,110386.0,Work sub-tour
DRIVEALONE,SHARED3,2043.0,Work sub-tour
SHARED2,SHARED3,2662.0,Work sub-tour
SHARED3,SHARED3,49392.0,Work sub-tour
WALK,SHARED3,73.0,Work sub-tour
BIKE,SHARED3,0.0,Work sub-tour
WALK-TRANSIT,SHARED3,0.0,Work sub-tour
PNR-TRANSIT,SHARED3,0.0,Work sub-tour
KNR-TRANSIT,SHARED3,0.0,Work sub-tour
TNC-TRANSIT,SHARED3,0.0,Work sub-tour
TAXI,SHARED3,0.0,Work sub-tour
TNC-REG,SHARED3,0.0,Work sub-tour
TNC-SHARED,SHARED3,0.0,Work sub-tour
SCHOOLBUS,SHARED3,0.0,Work sub-tour
All,SHARED3,54170.0,Work sub-tour
DRIVEALONE,WALK,0.0,Work sub-tour
SHARED2,WALK,0.0,Work sub-tour
SHARED3,WALK,0.0,Work sub-tour
WALK,WALK,304032.0,Work sub-tour
BIKE,WALK,0.0,Work sub-tour
WALK-TRANSIT,WALK,0.0,Work sub-tour
PNR-TRANSIT,WALK,0.0,Work sub-tour
KNR-TRANSIT,WALK,0.0,Work sub-tour
TNC-TRANSIT,WALK,0.0,Work sub-tour
TAXI,WALK,0.0,Work sub-tour
TNC-REG,WALK,0.0,Work sub-tour
TNC-SHARED,WALK,0.0,Work sub-tour
SCHOOLBUS,WALK,0.0,Work sub-tour
All,WALK,304032.0,Work sub-tour
DRIVEALONE,BIKE,0.0,Work sub-tour
SHARED2,BIKE,0.0,Work sub-tour
SHARED3,BIKE,0.0,Work sub-tour
WALK,BIKE,0.0,Work sub-tour
BIKE,BIKE,11085.0,Work sub-tour
WALK-TRANSIT,BIKE,0.0,Work sub-tour
PNR-TRANSIT,BIKE,0.0,Work sub-tour
KNR-TRANSIT,BIKE,0.0,Work sub-tour
TNC-TRANSIT,BIKE,0.0,Work sub-tour
TAXI,BIKE,0.0,Work sub-tour
TNC-REG,BIKE,0.0,Work sub-tour
TNC-SHARED,BIKE,0.0,Work sub-tour
SCHOOLBUS,BIKE,0.0,Work sub-tour
All,BIKE,11085.0,Work sub-tour
DRIVEALONE,WALK-TRANSIT,0.0,Work sub-tour
SHARED2,WALK-TRANSIT,0.0,Work sub-tour
SHARED3,WALK-TRANSIT,0.0,Work sub-tour
WALK,WALK-TRANSIT,3807.0,Work sub-tour
BIKE,WALK-TRANSIT,0.0,Work sub-tour
WALK-TRANSIT,WALK-TRANSIT,23574.0,Work sub-tour
PNR-TRANSIT,WALK-TRANSIT,0.0,Work sub-tour
KNR-TRANSIT,WALK-TRANSIT,0.0,Work sub-tour
TNC-TRANSIT,WALK-TRANSIT,0.0,Work sub-tour
TAXI,WALK-TRANSIT,0.0,Work sub-tour
TNC-REG,WALK-TRANSIT,0.0,Work sub-tour
TNC-SHARED,WALK-TRANSIT,0.0,Work sub-tour
SCHOOLBUS,WALK-TRANSIT,0.0,Work sub-tour
All,WALK-TRANSIT,27381.0,Work sub-tour
DRIVEALONE,PNR-TRANSIT,0.0,Work sub-tour
SHARED2,PNR-TRANSIT,0.0,Work sub-tour
SHARED3,PNR-TRANSIT,0.0,Work sub-tour
WALK,PNR-TRANSIT,0.0,Work sub-tour
BIKE,PNR-TRANSIT,0.0,Work sub-tour
WALK-TRANSIT,PNR-TRANSIT,0.0,Work sub-tour
PNR-TRANSIT,PNR-TRANSIT,5141.0,Work sub-tour
KNR-TRANSIT,PNR-TRANSIT,0.0,Work sub-tour
TNC-TRANSIT,PNR-TRANSIT,0.0,Work sub-tour
TAXI,PNR-TRANSIT,0.0,Work sub-tour
TNC-REG,PNR-TRANSIT,0.0,Work sub-tour
TNC-SHARED,PNR-TRANSIT,0.0,Work sub-tour
SCHOOLBUS,PNR-TRANSIT,0.0,Work sub-tour
All,PNR-TRANSIT,5141.0,Work sub-tour
DRIVEALONE,KNR-TRANSIT,0.0,Work sub-tour
SHARED2,KNR-TRANSIT,0.0,Work sub-tour
SHARED3,KNR-TRANSIT,0.0,Work sub-tour
WALK,KNR-TRANSIT,0.0,Work sub-tour
BIKE,KNR-TRANSIT,0.0,Work sub-tour
WALK-TRANSIT,KNR-TRANSIT,0.0,Work sub-tour
PNR-TRANSIT,KNR-TRANSIT,0.0,Work sub-tour
KNR-TRANSIT,KNR-TRANSIT,2020.0,Work sub-tour
TNC-TRANSIT,KNR-TRANSIT,0.0,Work sub-tour
TAXI,KNR-TRANSIT,0.0,Work sub-tour
TNC-REG,KNR-TRANSIT,0.0,Work sub-tour
TNC-SHARED,KNR-TRANSIT,0.0,Work sub-tour
SCHOOLBUS,KNR-TRANSIT,0.0,Work sub-tour
All,KNR-TRANSIT,2020.0,Work sub-tour
DRIVEALONE,TNC-TRANSIT,0.0,Work sub-tour
SHARED2,TNC-TRANSIT,0.0,Work sub-tour
SHARED3,TNC-TRANSIT,0.0,Work sub-tour
WALK,TNC-TRANSIT,0.0,Work sub-tour
BIKE,TNC-TRANSIT,0.0,Work sub-tour
WALK-TRANSIT,TNC-TRANSIT,0.0,Work sub-tour
PNR-TRANSIT,TNC-TRANSIT,0.0,Work sub-tour
KNR-TRANSIT,TNC-TRANSIT,0.0,Work sub-tour
TNC-TRANSIT,TNC-TRANSIT,663.0,Work sub-tour
TAXI,TNC-TRANSIT,0.0,Work sub-tour
TNC-REG,TNC-TRANSIT,0.0,Work sub-tour
TNC-SHARED,TNC-TRANSIT,0.0,Work sub-tour
SCHOOLBUS,TNC-TRANSIT,0.0,Work sub-tour
All,TNC-TRANSIT,663.0,Work sub-tour
DRIVEALONE,TAXI,0.0,Work sub-tour
SHARED2,TAXI,113.0,Work sub-tour
SHARED3,TAXI,226.0,Work sub-tour
WALK,TAXI,1515.0,Work sub-tour
BIKE,TAXI,0.0,Work sub-tour
WALK-TRANSIT,TAXI,0.0,Work sub-tour
PNR-TRANSIT,TAXI,0.0,Work sub-tour
KNR-TRANSIT,TAXI,0.0,Work sub-tour
TNC-TRANSIT,TAXI,0.0,Work sub-tour
TAXI,TAXI,7075.0,Work sub-tour
TNC-REG,TAXI,0.0,Work sub-tour
TNC-SHARED,TAXI,0.0,Work sub-tour
SCHOOLBUS,TAXI,0.0,Work sub-tour
All,TAXI,8929.0,Work sub-tour
DRIVEALONE,TNC-REG,0.0,Work sub-tour
SHARED2,TNC-REG,0.0,Work sub-tour
SHARED3,TNC-REG,0.0,Work sub-tour
WALK,TNC-REG,289.0,Work sub-tour
BIKE,TNC-REG,0.0,Work sub-tour
WALK-TRANSIT,TNC-REG,0.0,Work sub-tour
PNR-TRANSIT,TNC-REG,0.0,Work sub-tour
KNR-TRANSIT,TNC-REG,0.0,Work sub-tour
TNC-TRANSIT,TNC-REG,0.0,Work sub-tour
TAXI,TNC-REG,189.0,Work sub-tour
TNC-REG,TNC-REG,1211.0,Work sub-tour
TNC-SHARED,TNC-REG,0.0,Work sub-tour
SCHOOLBUS,TNC-REG,0.0,Work sub-tour
All,TNC-REG,1689.0,Work sub-tour
DRIVEALONE,TNC-SHARED,0.0,Work sub-tour
SHARED2,TNC-SHARED,0.0,Work sub-tour
SHARED3,TNC-SHARED,0.0,Work sub-tour
WALK,TNC-SHARED,0.0,Work sub-tour
BIKE,TNC-SHARED,0.0,Work sub-tour
WALK-TRANSIT,TNC-SHARED,0.0,Work sub-tour
PNR-TRANSIT,TNC-SHARED,0.0,Work sub-tour
KNR-TRANSIT,TNC-SHARED,0.0,Work sub-tour
TNC-TRANSIT,TNC-SHARED,0.0,Work sub-tour
TAXI,TNC-SHARED,0.0,Work sub-tour
TNC-REG,TNC-SHARED,0.0,Work sub-tour
TNC-SHARED,TNC-SHARED,2100.0,Work sub-tour
SCHOOLBUS,TNC-SHARED,0.0,Work sub-tour
All,TNC-SHARED,2100.0,Work sub-tour
DRIVEALONE,SCHOOLBUS,0.0,Work sub-tour
SHARED2,SCHOOLBUS,0.0,Work sub-tour
SHARED3,SCHOOLBUS,0.0,Work sub-tour
WALK,SCHOOLBUS,0.0,Work sub-tour
BIKE,SCHOOLBUS,0.0,Work sub-tour
WALK-TRANSIT,SCHOOLBUS,0.0,Work sub-tour
PNR-TRANSIT,SCHOOLBUS,0.0,Work sub-tour
KNR-TRANSIT,SCHOOLBUS,0.0,Work sub-tour
TNC-TRANSIT,SCHOOLBUS,0.0,Work sub-tour
TAXI,SCHOOLBUS,0.0,Work sub-tour
TNC-REG,SCHOOLBUS,0.0,Work sub-tour
TNC-SHARED,SCHOOLBUS,0.0,Work sub-tour
SCHOOLBUS,SCHOOLBUS,0.0,Work sub-tour
All,SCHOOLBUS,0.0,Work sub-tour
DRIVEALONE,All,712853.0,Work sub-tour
SHARED2,All,98584.0,Work sub-tour
SHARED3,All,49618.0,Work sub-tour
WALK,All,313443.0,Work sub-tour
BIKE,All,11085.0,Work sub-tour
WALK-TRANSIT,All,23574.0,Work sub-tour
PNR-TRANSIT,All,5141.0,Work sub-tour
KNR-TRANSIT,All,2020.0,Work sub-tour
TNC-TRANSIT,All,663.0,Work sub-tour
TAXI,All,7264.0,Work sub-tour
TNC-REG,All,1211.0,Work sub-tour
TNC-SHARED,All,2100.0,Work sub-tour
SCHOOLBUS,All,0.0,Work sub-tour
All,All,1227556.0,Work sub-tour
DRIVEALONE,DRIVEALONE,4468241.0,Ind-Maintenance
SHARED2,DRIVEALONE,0.0,Ind-Maintenance
SHARED3,DRIVEALONE,0.0,Ind-Maintenance
WALK,DRIVEALONE,77824.0,Ind-Maintenance
BIKE,DRIVEALONE,0.0,Ind-Maintenance
WALK-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
PNR-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
KNR-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
TNC-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
TAXI,DRIVEALONE,0.0,Ind-Maintenance
TNC-REG,DRIVEALONE,0.0,Ind-Maintenance
TNC-SHARED,DRIVEALONE,0.0,Ind-Maintenance
SCHOOLBUS,DRIVEALONE,0.0,Ind-Maintenance
All,DRIVEALONE,4546065.0,Ind-Maintenance
DRIVEALONE,SHARED2,1060277.0,Ind-Maintenance
SHARED2,SHARED2,1943257.0,Ind-Maintenance
SHARED3,SHARED2,0.0,Ind-Maintenance
WALK,SHARED2,55300.0,Ind-Maintenance
BIKE,SHARED2,0.0,Ind-Maintenance
WALK-TRANSIT,SHARED2,0.0,Ind-Maintenance
PNR-TRANSIT,SHARED2,0.0,Ind-Maintenance
KNR-TRANSIT,SHARED2,0.0,Ind-Maintenance
TNC-TRANSIT,SHARED2,0.0,Ind-Maintenance
TAXI,SHARED2,0.0,Ind-Maintenance
TNC-REG,SHARED2,0.0,Ind-Maintenance
TNC-SHARED,SHARED2,0.0,Ind-Maintenance
SCHOOLBUS,SHARED2,0.0,Ind-Maintenance
All,SHARED2,3058834.0,Ind-Maintenance
DRIVEALONE,SHARED3,395524.0,Ind-Maintenance
SHARED2,SHARED3,452872.0,Ind-Maintenance
SHARED3,SHARED3,1429751.0,Ind-Maintenance
WALK,SHARED3,35630.0,Ind-Maintenance
BIKE,SHARED3,0.0,Ind-Maintenance
WALK-TRANSIT,SHARED3,0.0,Ind-Maintenance
PNR-TRANSIT,SHARED3,0.0,Ind-Maintenance
KNR-TRANSIT,SHARED3,0.0,Ind-Maintenance
TNC-TRANSIT,SHARED3,0.0,Ind-Maintenance
TAXI,SHARED3,0.0,Ind-Maintenance
TNC-REG,SHARED3,0.0,Ind-Maintenance
TNC-SHARED,SHARED3,0.0,Ind-Maintenance
SCHOOLBUS,SHARED3,0.0,Ind-Maintenance
All,SHARED3,2313777.0,Ind-Maintenance
DRIVEALONE,WALK,0.0,Ind-Maintenance
SHARED2,WALK,0.0,Ind-Maintenance
SHARED3,WALK,0.0,Ind-Maintenance
WALK,WALK,910226.0,Ind-Maintenance
BIKE,WALK,0.0,Ind-Maintenance
WALK-TRANSIT,WALK,0.0,Ind-Maintenance
PNR-TRANSIT,WALK,0.0,Ind-Maintenance
KNR-TRANSIT,WALK,0.0,Ind-Maintenance
TNC-TRANSIT,WALK,0.0,Ind-Maintenance
TAXI,WALK,0.0,Ind-Maintenance
TNC-REG,WALK,0.0,Ind-Maintenance
TNC-SHARED,WALK,0.0,Ind-Maintenance
SCHOOLBUS,WALK,0.0,Ind-Maintenance
All,WALK,910226.0,Ind-Maintenance
DRIVEALONE,BIKE,0.0,Ind-Maintenance
SHARED2,BIKE,0.0,Ind-Maintenance
SHARED3,BIKE,0.0,Ind-Maintenance
WALK,BIKE,0.0,Ind-Maintenance
BIKE,BIKE,118887.0,Ind-Maintenance
WALK-TRANSIT,BIKE,0.0,Ind-Maintenance
PNR-TRANSIT,BIKE,0.0,Ind-Maintenance
KNR-TRANSIT,BIKE,0.0,Ind-Maintenance
TNC-TRANSIT,BIKE,0.0,Ind-Maintenance
TAXI,BIKE,0.0,Ind-Maintenance
TNC-REG,BIKE,0.0,Ind-Maintenance
TNC-SHARED,BIKE,0.0,Ind-Maintenance
SCHOOLBUS,BIKE,0.0,Ind-Maintenance
All,BIKE,118887.0,Ind-Maintenance
DRIVEALONE,WALK-TRANSIT,0.0,Ind-Maintenance
SHARED2,WALK-TRANSIT,0.0,Ind-Maintenance
SHARED3,WALK-TRANSIT,0.0,Ind-Maintenance
WALK,WALK-TRANSIT,41982.0,Ind-Maintenance
BIKE,WALK-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,WALK-TRANSIT,136529.0,Ind-Maintenance
PNR-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
TAXI,WALK-TRANSIT,1102.0,Ind-Maintenance
TNC-REG,WALK-TRANSIT,1994.0,Ind-Maintenance
TNC-SHARED,WALK-TRANSIT,1426.0,Ind-Maintenance
SCHOOLBUS,WALK-TRANSIT,0.0,Ind-Maintenance
All,WALK-TRANSIT,183033.0,Ind-Maintenance
DRIVEALONE,PNR-TRANSIT,0.0,Ind-Maintenance
SHARED2,PNR-TRANSIT,0.0,Ind-Maintenance
SHARED3,PNR-TRANSIT,0.0,Ind-Maintenance
WALK,PNR-TRANSIT,0.0,Ind-Maintenance
BIKE,PNR-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,PNR-TRANSIT,5419.0,Ind-Maintenance
KNR-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
TAXI,PNR-TRANSIT,0.0,Ind-Maintenance
TNC-REG,PNR-TRANSIT,50.0,Ind-Maintenance
TNC-SHARED,PNR-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,PNR-TRANSIT,0.0,Ind-Maintenance
All,PNR-TRANSIT,5469.0,Ind-Maintenance
DRIVEALONE,KNR-TRANSIT,0.0,Ind-Maintenance
SHARED2,KNR-TRANSIT,0.0,Ind-Maintenance
SHARED3,KNR-TRANSIT,0.0,Ind-Maintenance
WALK,KNR-TRANSIT,0.0,Ind-Maintenance
BIKE,KNR-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,KNR-TRANSIT,7125.0,Ind-Maintenance
TNC-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
TAXI,KNR-TRANSIT,0.0,Ind-Maintenance
TNC-REG,KNR-TRANSIT,0.0,Ind-Maintenance
TNC-SHARED,KNR-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,KNR-TRANSIT,0.0,Ind-Maintenance
All,KNR-TRANSIT,7125.0,Ind-Maintenance
DRIVEALONE,TNC-TRANSIT,0.0,Ind-Maintenance
SHARED2,TNC-TRANSIT,0.0,Ind-Maintenance
SHARED3,TNC-TRANSIT,0.0,Ind-Maintenance
WALK,TNC-TRANSIT,0.0,Ind-Maintenance
BIKE,TNC-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,TNC-TRANSIT,2161.0,Ind-Maintenance
TAXI,TNC-TRANSIT,75.0,Ind-Maintenance
TNC-REG,TNC-TRANSIT,0.0,Ind-Maintenance
TNC-SHARED,TNC-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,TNC-TRANSIT,0.0,Ind-Maintenance
All,TNC-TRANSIT,2236.0,Ind-Maintenance
DRIVEALONE,TAXI,0.0,Ind-Maintenance
SHARED2,TAXI,15425.0,Ind-Maintenance
SHARED3,TAXI,2665.0,Ind-Maintenance
WALK,TAXI,1923.0,Ind-Maintenance
BIKE,TAXI,0.0,Ind-Maintenance
WALK-TRANSIT,TAXI,0.0,Ind-Maintenance
PNR-TRANSIT,TAXI,0.0,Ind-Maintenance
KNR-TRANSIT,TAXI,0.0,Ind-Maintenance
TNC-TRANSIT,TAXI,0.0,Ind-Maintenance
TAXI,TAXI,44912.0,Ind-Maintenance
TNC-REG,TAXI,0.0,Ind-Maintenance
TNC-SHARED,TAXI,0.0,Ind-Maintenance
SCHOOLBUS,TAXI,0.0,Ind-Maintenance
All,TAXI,64925.0,Ind-Maintenance
DRIVEALONE,TNC-REG,0.0,Ind-Maintenance
SHARED2,TNC-REG,3195.0,Ind-Maintenance
SHARED3,TNC-REG,4029.0,Ind-Maintenance
WALK,TNC-REG,19410.0,Ind-Maintenance
BIKE,TNC-REG,0.0,Ind-Maintenance
WALK-TRANSIT,TNC-REG,0.0,Ind-Maintenance
PNR-TRANSIT,TNC-REG,0.0,Ind-Maintenance
KNR-TRANSIT,TNC-REG,0.0,Ind-Maintenance
TNC-TRANSIT,TNC-REG,0.0,Ind-Maintenance
TAXI,TNC-REG,62.0,Ind-Maintenance
TNC-REG,TNC-REG,44469.0,Ind-Maintenance
TNC-SHARED,TNC-REG,0.0,Ind-Maintenance
SCHOOLBUS,TNC-REG,0.0,Ind-Maintenance
All,TNC-REG,71165.0,Ind-Maintenance
DRIVEALONE,TNC-SHARED,0.0,Ind-Maintenance
SHARED2,TNC-SHARED,0.0,Ind-Maintenance
SHARED3,TNC-SHARED,342.0,Ind-Maintenance
WALK,TNC-SHARED,3205.0,Ind-Maintenance
BIKE,TNC-SHARED,0.0,Ind-Maintenance
WALK-TRANSIT,TNC-SHARED,0.0,Ind-Maintenance
PNR-TRANSIT,TNC-SHARED,0.0,Ind-Maintenance
KNR-TRANSIT,TNC-SHARED,0.0,Ind-Maintenance
TNC-TRANSIT,TNC-SHARED,0.0,Ind-Maintenance
TAXI,TNC-SHARED,936.0,Ind-Maintenance
TNC-REG,TNC-SHARED,11004.0,Ind-Maintenance
TNC-SHARED,TNC-SHARED,18243.0,Ind-Maintenance
SCHOOLBUS,TNC-SHARED,0.0,Ind-Maintenance
All,TNC-SHARED,33730.0,Ind-Maintenance
DRIVEALONE,SCHOOLBUS,0.0,Ind-Maintenance
SHARED2,SCHOOLBUS,0.0,Ind-Maintenance
SHARED3,SCHOOLBUS,0.0,Ind-Maintenance
WALK,SCHOOLBUS,0.0,Ind-Maintenance
BIKE,SCHOOLBUS,0.0,Ind-Maintenance
